Timestamp,Captain_A_Name,Captain_A_DOB,Captain_B_Name,Captain_B_DOB,Match_Date,Match_Time,Match_Place,Match_Format,TZ_Offset_Hours,Real_Toss,Real_Match
2025-11-22T19:28:09.277743,Jess Jonassen,05/11/1992,Annabel Sutherland,12/10/2001,23/11/2025,19:10,Brisbane,T20,10,Annabel Sutherland,Annabel Sutherland
2025-11-22T20:36:08.087984,Moeen Ali,18/06/1987,Jason Roy,21/07/1990,23/11/2025,15:30,Abu Dhabi,T20,4,Moeen Ali,Moeen Ali
2025-11-22T20:57:24.159660,Mohammad Amir,13/04/1992,Rehamanullah Gurbaj,03/07/1980,23/11/2025,17:45,Abu Dhabi,T20,4,Rehamanullah Gurbaj,Mohammad Amir
2025-11-22T21:02:32.136003,Kieron pollard,03/04/1989,S Sreesanth,06/02/1983,23/11/2025,20:00,Abu Dhabi,T20,4,Kieron pollard,Kieron pollard
2025-11-22T21:08:17.445425,Sikandar Raza,24/04/1986,Salman Agha,23/11/1993,23/11/2025,18:00,Rawalpindi,T20,5,Salman Agha,Salman Agha
2025-11-22T21:47:52.068529,Akbar Ali,08/10/2001,Irfan Khan,28/12/2002,23/11/2025,17:30,Doha,T20,3,Akbar Ali,Irfan Khan
